City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vorgashor,67.5833,63.95,1.71,98,100,3.95,RU,1697491448
1,yellowknife,62.456,-114.3525,6.9,99,100,5.14,CA,1697491952
2,port-aux-francais,-49.35,70.2167,2.99,88,87,12.57,TF,1697491952
3,wailua homesteads,22.0669,-159.378,28.44,71,20,5.14,US,1697491953
4,hermanus,-34.4187,19.2345,15.77,90,22,5.06,ZA,1697491953
5,queenstown,-31.8976,26.8753,10.67,91,97,2.5,ZA,1697491404
6,albany,42.6001,-73.9662,15.36,63,93,2.3,US,1697491842
7,adamstown,-25.066,-130.1015,21.91,82,51,4.11,PN,1697491955
8,constantia,44.1833,28.65,6.5,56,12,3.61,RO,1697491423
9,tual,-5.6667,132.75,26.6,82,32,4.45,ID,1697491955
10,veraval,20.9,70.3667,25.89,77,5,5.35,IN,1697491956
11,ushuaia,-54.8,-68.3,8.81,51,75,6.17,AR,1697491884
12,st. john's,47.5649,-52.7093,9.43,97,100,11.18,CA,1697491808
13,mugia,43.1041,-9.2179,21.06,73,96,12.66,ES,1697491576
14,avarua,-21.2078,-159.775,23.03,64,75,4.63,CK,1697491420
15,puerto ayora,-0.7393,-90.3518,28.98,90,87,3.58,EC,1697491875
16,fale old settlement,-9.3852,-171.2468,28.56,77,87,9.92,TK,1697491595
17,poronaysk,49.2167,143.1167,5.72,90,94,5.2,RU,1697491958
18,papatowai,-46.5619,169.4708,9.23,53,74,4.5,NZ,1697491954
19,tandil,-37.3217,-59.1332,19.91,68,75,10.29,AR,1697491959
20,bethel,41.3712,-73.414,16.4,65,75,3.6,US,1697491202
21,bilibino,68.0546,166.4372,-10.58,99,99,1.0,RU,1697491955
22,grytviken,-54.2811,-36.5092,-0.61,84,13,4.27,GS,1697491957
23,nar'yan-mar,67.6713,53.087,3.95,93,100,5.81,RU,1697491595
24,douglas,41.3,-96.167,18.75,47,0,3.09,US,1697491961
25,waitangi,-43.9535,-176.5597,15.46,81,58,4.92,NZ,1697491961
26,galliano,29.4422,-90.2992,22.22,33,0,5.66,US,1697491962
27,alofi,-19.0595,-169.9187,24.94,65,75,9.77,NU,1697491436
28,qaqortoq,60.7167,-46.0333,1.71,97,100,1.57,GL,1697491408
29,college,64.8569,-147.8028,8.28,71,75,3.09,US,1697491963
30,talnakh,69.4865,88.3972,-1.3,97,100,2.46,RU,1697491403
31,hithadhoo,-0.6,73.0833,27.28,73,19,7.39,MV,1697491964
32,margaret river,-33.95,115.0667,16.04,65,71,3.75,AU,1697491965
33,ribeira grande,38.5167,-28.7,19.32,82,20,2.68,PT,1697491964
34,jamestown,42.097,-79.2353,10.77,95,100,2.57,US,1697491224
35,sihanoukville,10.6093,103.5296,24.97,100,75,0.51,KH,1697491966
36,tiksi,71.6872,128.8694,-13.7,94,93,3.36,RU,1697491954
37,bredasdorp,-34.5322,20.0403,15.29,87,19,4.12,ZA,1697491958
38,iskateley,67.6803,53.1512,3.9,93,100,5.81,RU,1697491431
39,ust-nera,64.5667,143.2,-22.35,98,61,1.41,RU,1697491416
40,pisco,-13.7,-76.2167,20.03,77,20,3.6,PE,1697491968
41,khanpur,28.6453,70.6567,22.73,58,53,7.4,PK,1697491968
42,colonia,50.9333,6.95,8.81,88,0,2.06,DE,1697491310
43,bodo,67.28,14.405,5.02,93,75,2.57,NO,1697491614
44,enewetak,11.3474,162.3373,28.9,76,12,7.34,MH,1697491969
45,merizo village,13.2658,144.6691,27.31,91,100,3.17,GU,1697491600
46,port mathurin,-19.6833,63.4167,23.89,86,1,4.0,MU,1697491406
47,clarksdale,34.2001,-90.5709,19.99,32,0,5.66,US,1697491970
48,masumbwe,-3.6333,32.1833,22.08,69,93,2.05,TZ,1697491971
49,whitehorse,60.7161,-135.0538,1.43,100,100,0.0,CA,1697491435
50,simanggang,1.2472,111.4528,23.99,100,100,0.0,MY,1697491621
51,utrik,11.2278,169.8474,28.28,76,32,7.6,MH,1697491277
52,coquimbo,-29.9533,-71.3436,16.85,67,0,6.17,CL,1697491349
53,alice springs,-23.7,133.8833,12.75,47,0,2.06,AU,1697491889
54,hadibu,12.65,54.0333,27.11,78,22,2.33,YE,1697491973
55,banda aceh,5.5577,95.3222,25.52,87,100,7.17,ID,1697491974
56,ilulissat,69.2167,-51.1,-6.99,79,100,9.26,GL,1697491963
57,el granada,37.5027,-122.4694,26.62,58,0,7.2,US,1697491974
58,fort bragg,35.139,-79.006,16.75,53,100,2.57,US,1697491975
59,takoradi,4.8845,-1.7554,24.47,89,98,4.23,GH,1697491975
60,rio grande,-32.035,-52.0986,22.06,96,100,2.41,BR,1697491976
61,quellon,-43.1167,-73.6167,10.45,66,4,5.48,CL,1697491573
62,rampur,28.8167,79.0333,19.41,85,100,4.22,IN,1697491593
63,isafjordur,66.0755,-23.124,0.21,83,100,2.32,IS,1697491441
64,mermoz boabab,14.7065,-17.4758,28.88,84,20,1.03,SN,1697491610
65,mukalla,14.5425,49.1242,25.98,79,1,1.63,YE,1697491977
66,moyale,3.5167,39.0584,20.86,78,98,2.68,KE,1697491978
67,blackmans bay,-43.0167,147.3167,7.63,75,12,1.34,AU,1697491954
68,uturoa,-16.7333,-151.4333,25.59,79,55,6.26,PF,1697491978
69,mtambile,-5.3833,39.7,25.34,88,28,3.23,TZ,1697491979
70,meadow lakes,61.6247,-149.6011,10.06,58,0,5.66,US,1697491979
71,flying fish cove,-10.4217,105.6791,25.82,88,75,5.14,CX,1697491980
72,lompoc,34.6391,-120.4579,31.12,69,40,5.66,US,1697491450
73,cabo san lucas,22.8909,-109.9124,34.23,58,0,3.6,MX,1697491408
74,troina / draginai,37.7854,14.5985,13.84,87,71,1.47,IT,1697491981
75,misratah,32.3754,15.0925,23.88,60,0,4.87,LY,1697491981
76,invercargill,-46.4,168.35,10.01,77,63,2.68,NZ,1697491891
77,manta,-0.95,-80.7333,27.88,74,40,2.57,EC,1697491402
78,yanam,16.7333,82.2167,24.01,83,91,0.4,IN,1697491416
79,touros,-5.1989,-35.4608,25.31,76,45,8.23,BR,1697491546
80,puerto deseado,-47.7503,-65.8938,14.2,39,6,3.06,AR,1697491981
81,iqaluit,63.7506,-68.5145,-5.15,73,20,4.63,CA,1697491409
82,kapa'a,22.0752,-159.319,29.18,73,20,5.14,US,1697491602
83,vila franca do campo,37.7167,-25.4333,20.49,99,97,6.2,PT,1697491573
84,mansa,29.9833,75.3833,18.27,85,53,3.18,IN,1697491985
85,las lomitas,-24.7096,-60.593,44.18,15,34,4.94,AR,1697491570
86,kirensk,57.7853,108.1119,3.9,95,100,3.58,RU,1697491577
